Name,Sex,Year of Birth,Country of Birth,Religion,City,Profession
Vera Reid,F,,Australia,Christian,Brisbane,Nurse
Ramon West,M,,Portugal,Christian,Lisbon,X
Elmer Walters,M,1985,Brazil,Christian,São Paulo,Nurse
Virgil Griffin,M,1966,Canada,Christian,Vancouver,Nurse
Jim Foster,M,1998,USA,Christian,New Orleans,Nurse
Apolonia Abler,F,1967,Canada,Christian,Vancouver,Nurse
Stuart Mathis,M,1966,Peru,Christian,Arequipa,Nurse
Alton Thornton,M,,Canada,Christian,Vancouver,Nurse
Jeannette Lowe,F,1972,Spain,Christian,Valencia,Nurse
Wendell Freeman,M,1978,Mexico,x,Acapulco,Nurse
Terri Wilson,F,1962,Canada,Christian,Vancouver,Nurse
Marshall Vargas,M,,Scotland,Christian,Edinburgh,Nurse
Ricardo Rima,M,1977,Peru,Christian,Arequipa,Nurse
Andre Logan,M,1981,USA,Christian,New Orleans,Nurse
Jane Fernandez,F,1971,Spain,Christian,Valencia,Nurse
Zachary Yates,M,1975,Scotland,Christian,Edinburgh,Nurse
Merle Clark,M,,Mexico,Christian,Acapulco,Nurse
Marla Olson,F,,Peru,Christian,Arequipa,Nurse
Elisa Cain,F,1984,Portugal,Christian,Lisbon,Nurse
Janet Hunter,F,1974,USA,Christian,New Orleans,Nurse
Monica Rice,F,,Spain,Christian,Valencia,Nurse
Ruby Singleton,F,1982,USA,Christian,New Orleans,Nurse
Bennie Reeves,F,1968,Spain,Christian,Valencia,Nurse
Karina Belarmino,F,1974,Brazil,Christian,São Paulo,Nurse
Hailee Ochoa,F,1977,Brazil,Christian,São Paulo,Nurse
Izaiah Duarte,M,,Brazil,Christian,São Paulo,Nurse
Savannah Ball,F,1974,USA,Christian,New Orleans,Nurse
Kayden Todd,M,1986,Australia,Christian,Brisbane,Nurse
Sienna Contreras,F,1984,USA,Christian,New Orleans,Nurse
Maique Santos,M,,Brazil,Christian,São Paulo,
Marcel Olsen,M,1984,Canada,Christian,Vancouver,Nurse
Maia Banks,M,1961,USA,Christian,New Orleans,Nurse
Jameson Mendoza,M,,Mexico,Christian,Acapulco,Nurse
Ezequiel Anthony,M,1985,USA,Christian,New Orleans,Nurse
Payten Buck,F,1964,Mexico,Christian,Acapulco,Nurse
John Bradley,M,1984,Canada,,Vancouver,Nurse
Norah Carey,F,1961,Scotland,Christian,Edinburgh,Nurse
Apolonia Abler,F,1967,Australia,Christian,Brisbane,Nurse
Finley Rocha,M,1969,USA,Christian,New Orleans,Nurse
Paityn Hale,M,1963,Peru,Christian,Arequipa,Nurse
Petra Cruz,F,1976,Mexico,Christian,Acapulco,Nurse
Margaret Keith,F,1970,USA,Christian,New Orleans,Nurse
Diego Colque,M,1960,Peru,Christian,Arequipa,Nurse
Raelynn Murphy,F,1962,USA,Christian,New Orleans,Nurse
